127.0.0.1 - - [11/Apr/2023:11:01:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:01:40 +0900] "GET /leekangjo/index.html HTTP/1.1" 200 2073
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:01:40 +0900] "GET /leekangjo/css/testfile.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:01:40 +0900] "GET /leekangjo/css/Header.css HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:01:40 +0900] "GET /leekangjo/img/MainLogo.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:01:40 +0900] "GET /leekangjo/img/Logo1.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:01:40 +0900] "GET /leekangjo/img/Logo3.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:01:40 +0900] "GET /leekangjo/img/Logo2.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:01:40 +0900] "GET /leekangjo/img/Logo4.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:01:40 +0900] "GET /leekangjo/img/Logo5.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:01:40 +0900] "GET /leekangjo/img/Logo6.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:01:40 +0900] "GET /leekangjo/img/Logo7.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:01:40 +0900] "GET /leekangjo/img/Logo8.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:18:55 +0900] "GET /leekangjo/index.html HTTP/1.1" 200 2072
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:18:55 +0900] "GET /leekangjo/css/Header.css HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:18:55 +0900] "GET /leekangjo/css/testfile.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:18:55 +0900] "GET /leekangjo/img/MainLogo.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:18:55 +0900] "GET /leekangjo/img/Logo1.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:18:55 +0900] "GET /leekangjo/img/Logo2.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:18:55 +0900] "GET /leekangjo/img/Logo3.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:18:55 +0900] "GET /leekangjo/img/Logo4.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:18:55 +0900] "GET /leekangjo/img/Logo5.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:18:55 +0900] "GET /leekangjo/img/Logo6.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:18:55 +0900] "GET /leekangjo/img/Logo7.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:18:55 +0900] "GET /leekangjo/img/Logo8.png HTTP/1.1" 404 838
